Mach,alpha_-10,alpha_-5,alpha_0,alpha_5,alpha_10
0.5,-0.5572297980222,-0.2786148990111,0.0,0.2786148990111,0.5572297980222
0.6,-0.570946367604761,-0.2854731838023805,0.0,0.2854731838023805,0.570946367604761
0.7,-0.5946614009929964,-0.2973307004964982,0.0,0.2973307004964982,0.5946614009929964
0.7999999999999999,-0.6297311545839207,-0.31486557729196035,0.0,0.31486557729196035,0.6297311545839207
0.8999999999999999,-0.6555623607414682,-0.3277811803707341,0.0,0.3277811803707341,0.6555623607414682
0.9999999999999999,-0.6475616838722738,-0.3237808419361369,0.0,0.3237808419361369,0.6475616838722738
1.0999999999999999,-0.5764812485877864,-0.2882406242938932,0.0,0.2882406242938932,0.5764812485877864
1.2,-0.5407462040670465,-0.27037310203352327,0.0,0.27037310203352327,0.5407462040670465
1.3,-0.5118006390741116,-0.2559003195370558,0.0,0.2559003195370558,0.5118006390741116
1.4000000000000001,-0.48566637350689146,-0.24283318675344573,0.0,0.24283318675344573,0.48566637350689146
1.5000000000000002,-0.4616814869988255,-0.23084074349941275,0.0,0.23084074349941275,0.4616814869988255
1.6000000000000003,-0.4381972747756944,-0.2190986373878472,0.0,0.2190986373878472,0.4381972747756944
1.7000000000000004,-0.41521319588290184,-0.20760659794145092,0.0,0.20760659794145092,0.41521319588290184
1.8000000000000005,-0.39287534967337373,-0.19643767483668687,0.0,0.19643767483668687,0.39287534967337373
1.9000000000000006,-0.3713672862028655,-0.18568364310143276,0.0,0.18568364310143276,0.3713672862028655
2.0000000000000004,-0.3517168192045796,-0.1758584096022898,0.0,0.1758584096022898,0.3517168192045796
2.1000000000000005,-0.3347447848607489,-0.16737239243037444,0.0,0.16737239243037444,0.3347447848607489
2.2000000000000006,-0.31903302908496006,-0.15951651454248003,0.0,0.15951651454248003,0.31903302908496006
2.3000000000000007,-0.3059611525456583,-0.15298057627282916,0.0,0.15298057627282916,0.3059611525456583
2.400000000000001,-0.2947852594489788,-0.1473926297244894,0.0,0.1473926297244894,0.2947852594489788
2.500000000000001,-0.28453914246787326,-0.14226957123393663,0.0,0.14226957123393663,0.28453914246787326
2.600000000000001,-0.275380801956389,-0.1376904009781945,0.0,0.1376904009781945,0.275380801956389
2.700000000000001,-0.2663433647972051,-0.13317168239860255,0.0,0.13317168239860255,0.2663433647972051
2.800000000000001,-0.25700834019215085,-0.12850417009607543,0.0,0.12850417009607543,0.25700834019215085
2.9000000000000012,-0.24730430132855252,-0.12365215066427626,0.0,0.12365215066427626,0.24730430132855252
3.0000000000000013,-0.23804519762051157,-0.11902259881025579,0.0,0.11902259881025579,0.23804519762051157
3.1000000000000014,-0.2298602008755592,-0.1149301004377796,0.0,0.1149301004377796,0.2298602008755592
3.2000000000000015,-0.22301866487082173,-0.11150933243541086,0.0,0.11150933243541086,0.22301866487082173
3.3000000000000016,-0.21832682001442863,-0.10916341000721431,0.0,0.10916341000721431,0.21832682001442863
3.4000000000000017,-0.21326175809839612,-0.10663087904919806,0.0,0.10663087904919806,0.21326175809839612
3.5000000000000018,-0.20788831045051084,-0.10394415522525542,0.0,0.10394415522525542,0.20788831045051084
3.600000000000002,-0.2018700033117981,-0.10093500165589905,0.0,0.10093500165589905,0.2018700033117981
3.700000000000002,-0.19597765537026773,-0.09798882768513387,0.0,0.09798882768513387,0.19597765537026773
3.800000000000002,-0.19043103983368925,-0.09521551991684463,0.0,0.09521551991684463,0.19043103983368925
3.900000000000002,-0.18519971760304094,-0.09259985880152047,0.0,0.09259985880152047,0.18519971760304094
4.000000000000002,-0.18025682820201583,-0.09012841410100791,0.0,0.09012841410100791,0.18025682820201583
