Mach,kappa_q
0.5,0.9838473796844482
0.6,0.9832387566566467
0.7,0.9815865755081177
0.7999999999999999,0.9792907238006592
0.8999999999999999,0.9748628735542297
0.9999999999999999,0.9694615602493286
1.0999999999999999,0.9616508483886719
1.2,0.952069878578186
1.3,0.9438508152961731
1.4000000000000001,0.9363212585449219
1.5000000000000002,0.929937481880188
1.6000000000000003,0.9241445660591125
1.7000000000000004,0.9190645217895508
1.8000000000000005,0.914600133895874
1.9000000000000006,0.9108404517173767
2.0000000000000004,0.9073933362960815
2.1000000000000005,0.9043097496032715
2.2000000000000006,0.9021439552307129
2.3000000000000007,0.9000152349472046
2.400000000000001,0.89792799949646
2.500000000000001,0.8964482545852661
2.600000000000001,0.895063042640686
2.700000000000001,0.8938132524490356
2.800000000000001,0.89274001121521
2.9000000000000012,0.8919879794120789
3.0000000000000013,0.8912464380264282
3.1000000000000014,0.8905048370361328
3.2000000000000015,0.8897833228111267
3.3000000000000016,0.8892258405685425
3.4000000000000017,0.8887015581130981
3.5000000000000018,0.8882546424865723
3.600000000000002,0.8878260850906372
3.700000000000002,0.8873976469039917
3.800000000000002,0.8870137929916382
3.900000000000002,0.886641263961792
4.000000000000002,0.8862830400466919
