Mach,i_v
0.5,0.46725547313690186
0.6,0.4672465920448303
0.7,0.4671748876571655
0.7999999999999999,0.46718013286590576
0.8999999999999999,0.46730461716651917
0.9999999999999999,0.46744483709335327
1.0999999999999999,0.4673737585544586
1.2,0.4673443138599396
1.3,0.4673421084880829
1.4000000000000001,0.4674129784107208
1.5000000000000002,0.46738341450691223
1.6000000000000003,0.46743741631507874
1.7000000000000004,0.4674743413925171
1.8000000000000005,0.46748262643814087
1.9000000000000006,0.4674813747406006
2.0000000000000004,0.46744921803474426
2.1000000000000005,0.4672394394874573
2.2000000000000006,0.4670219421386719
2.3000000000000007,0.4670751988887787
2.400000000000001,0.4668677747249603
2.500000000000001,0.4664263427257538
2.600000000000001,0.4665219783782959
2.700000000000001,0.46598097681999207
2.800000000000001,0.46596843004226685
2.9000000000000012,0.46628445386886597
3.0000000000000013,0.4659993648529053
3.1000000000000014,0.4658971130847931
3.2000000000000015,0.4658087193965912
3.3000000000000016,0.4655337333679199
3.4000000000000017,0.46536287665367126
3.5000000000000018,0.46519967913627625
3.600000000000002,0.46516233682632446
3.700000000000002,0.46516233682632446
3.800000000000002,0.46516233682632446
3.900000000000002,0.46516233682632446
4.000000000000002,0.46516233682632446
