Mach,K_aa,alpha_-10,alpha_-5,alpha_0,alpha_5,alpha_10
0.5,1.07066585011722,1.07066585011722,1.07066585011722,1.07066585011722,1.07066585011722,1.07066585011722
0.6,1.0706457288253775,1.0706457288253775,1.0706457288253775,1.0706457288253775,1.0706457288253775,1.0706457288253775
0.7,1.0706097939304784,1.0706097939304784,1.0706097939304784,1.0706097939304784,1.0706097939304784,1.0706097939304784
0.7999999999999999,1.0705619285944985,1.0705619285944985,1.0705619285944985,1.0705619285944985,1.0705619285944985,1.0705619285944985
0.8999999999999999,1.0705045720827169,1.0705045720827169,1.0705045720827169,1.0705045720827169,1.0705045720827169,1.0705045720827169
0.9999999999999999,1.070439359143268,1.070439359143268,1.070439359143268,1.070439359143268,1.070439359143268,1.070439359143268
1.0999999999999999,1.0703674423471101,1.0703674423471101,1.0703674423471101,1.0703674423471101,1.0703674423471101,1.0703674423471101
1.2,1.0702896684380931,1.0702896684380931,1.0702896684380931,1.0702896684380931,1.0702896684380931,1.0702896684380931
1.3,1.0702066811754836,1.0702066811754836,1.0702066811754836,1.0702066811754836,1.0702066811754836,1.0702066811754836
1.4000000000000001,1.0701189844726446,1.0701189844726446,1.0701189844726446,1.0701189844726446,1.0701189844726446,1.0701189844726446
1.5000000000000002,1.070026982837149,1.070026982837149,1.070026982837149,1.070026982837149,1.070026982837149,1.070026982837149
1.6000000000000003,1.0699310082099664,1.0699310082099664,1.0699310082099664,1.0699310082099664,1.0699310082099664,1.0699310082099664
1.7000000000000004,1.069831338326105,1.069831338326105,1.069831338326105,1.069831338326105,1.069831338326105,1.069831338326105
1.8000000000000005,1.0697282096080958,1.0697282096080958,1.0697282096080958,1.0697282096080958,1.0697282096080958,1.0697282096080958
1.9000000000000006,1.0696218264294635,1.0696218264294635,1.0696218264294635,1.0696218264294635,1.0696218264294635,1.0696218264294635
2.0000000000000004,1.0695123679055218,1.0695123679055218,1.0695123679055218,1.0695123679055218,1.0695123679055218,1.0695123679055218
2.1000000000000005,1.069399992961382,1.069399992961382,1.069399992961382,1.069399992961382,1.069399992961382,1.069399992961382
2.2000000000000006,1.069284844175302,1.069284844175302,1.069284844175302,1.069284844175302,1.069284844175302,1.069284844175302
2.3000000000000007,1.0691670507356765,1.0691670507356765,1.0691670507356765,1.0691670507356765,1.0691670507356765,1.0691670507356765
2.400000000000001,1.0690467307460296,1.0690467307460296,1.0690467307460296,1.0690467307460296,1.0690467307460296,1.0690467307460296
2.500000000000001,1.0689239930433134,1.0689239930433134,1.0689239930433134,1.0689239930433134,1.0689239930433134,1.0689239930433134
2.600000000000001,1.0687989386480055,1.0687989386480055,1.0687989386480055,1.0687989386480055,1.0687989386480055,1.0687989386480055
2.700000000000001,1.0686716619322223,1.0686716619322223,1.0686716619322223,1.0686716619322223,1.0686716619322223,1.0686716619322223
2.800000000000001,1.0685422515694365,1.0685422515694365,1.0685422515694365,1.0685422515694365,1.0685422515694365,1.0685422515694365
2.9000000000000012,1.0684107913132739,1.0684107913132739,1.0684107913132739,1.0684107913132739,1.0684107913132739,1.0684107913132739
3.0000000000000013,1.0682773606412685,1.0682773606412685,1.0682773606412685,1.0682773606412685,1.0682773606412685,1.0682773606412685
3.1000000000000014,1.0681420352909514,1.0681420352909514,1.0681420352909514,1.0681420352909514,1.0681420352909514,1.0681420352909514
3.2000000000000015,1.0680048877094006,1.0680048877094006,1.0680048877094006,1.0680048877094006,1.0680048877094006,1.0680048877094006
3.3000000000000016,1.0678659874326755,1.0678659874326755,1.0678659874326755,1.0678659874326755,1.0678659874326755,1.0678659874326755
3.4000000000000017,1.067725401408043,1.067725401408043,1.067725401408043,1.067725401408043,1.067725401408043,1.067725401408043
3.5000000000000018,1.0675831942691985,1.0675831942691985,1.0675831942691985,1.0675831942691985,1.0675831942691985,1.0675831942691985
3.600000000000002,1.0674394285726185,1.0674394285726185,1.0674394285726185,1.0674394285726185,1.0674394285726185,1.0674394285726185
3.700000000000002,1.0672941650015824,1.0672941650015824,1.0672941650015824,1.0672941650015824,1.0672941650015824,1.0672941650015824
3.800000000000002,1.0671474625431419,1.0671474625431419,1.0671474625431419,1.0671474625431419,1.0671474625431419,1.0671474625431419
3.900000000000002,1.0669993786423366,1.0669993786423366,1.0669993786423366,1.0669993786423366,1.0669993786423366,1.0669993786423366
4.000000000000002,1.0668499693371716,1.0668499693371716,1.0668499693371716,1.0668499693371716,1.0668499693371716,1.0668499693371716
