Mach,K_aa,alpha_-10,alpha_-5,alpha_0,alpha_5,alpha_10
0.5,1.0668499693371716,1.073538569019118,1.073538569019118,1.073538569019118,1.073538569019118,1.073538569019118
0.6,1.0668499693371716,1.0735175449186825,1.0735175449186825,1.0735175449186825,1.0735175449186825,1.0735175449186825
0.7,1.0668499693371716,1.073479997685363,1.073479997685363,1.073479997685363,1.073479997685363,1.073479997685363
0.7999999999999999,1.0668499693371716,1.073429984712096,1.073429984712096,1.073429984712096,1.073429984712096,1.073429984712096
0.8999999999999999,1.0668499693371716,1.073370054709899,1.073370054709899,1.073370054709899,1.073370054709899,1.073370054709899
0.9999999999999999,1.0668499693371716,1.0733019157753116,1.0733019157753116,1.0733019157753116,1.0733019157753116,1.0733019157753116
1.0999999999999999,1.0668499693371716,1.0732267721932172,1.0732267721932172,1.0732267721932172,1.0732267721932172,1.0732267721932172
1.2,1.0668499693371716,1.0731455086994404,1.0731455086994404,1.0731455086994404,1.0731455086994404,1.0731455086994404
1.3,1.0668499693371716,1.0730587979376447,1.0730587979376447,1.0730587979376447,1.0730587979376447,1.0730587979376447
1.4000000000000001,1.0668499693371716,1.0729671664309413,1.0729671664309413,1.0729671664309413,1.0729671664309413,1.0729671664309413
1.5000000000000002,1.0668499693371716,1.0728710368364784,1.0728710368364784,1.0728710368364784,1.0728710368364784,1.0728710368364784
1.6000000000000003,1.0668499693371716,1.0727707559888604,1.0727707559888604,1.0727707559888604,1.0727707559888604,1.0727707559888604
1.7000000000000004,1.0668499693371716,1.0726666140845982,1.0726666140845982,1.0726666140845982,1.0726666140845982,1.0726666140845982
1.8000000000000005,1.0668499693371716,1.072558858154105,1.072558858154105,1.072558858154105,1.072558858154105,1.072558858154105
1.9000000000000006,1.0668499693371716,1.0724477017408034,1.0724477017408034,1.0724477017408034,1.0724477017408034,1.0724477017408034
2.0000000000000004,1.0668499693371716,1.0723333319966102,1.0723333319966102,1.0723333319966102,1.0723333319966102,1.0723333319966102
2.1000000000000005,1.0668499693371716,1.0722159149773391,1.0722159149773391,1.0722159149773391,1.0722159149773391,1.0722159149773391
2.2000000000000006,1.0668499693371716,1.072095599658496,1.072095599658496,1.072095599658496,1.072095599658496,1.072095599658496
2.3000000000000007,1.0668499693371716,1.0719725210249413,1.0719725210249413,1.0719725210249413,1.0719725210249413,1.0719725210249413
2.400000000000001,1.0668499693371716,1.0718468024793069,1.0718468024793069,1.0718468024793069,1.0718468024793069,1.0718468024793069
2.500000000000001,1.0668499693371716,1.0717185577418755,1.0717185577418755,1.0717185577418755,1.0717185577418755,1.0717185577418755
2.600000000000001,1.0668499693371716,1.0715878923657438,1.0715878923657438,1.0715878923657438,1.0715878923657438,1.0715878923657438
2.700000000000001,1.0668499693371716,1.0714549049573474,1.0714549049573474,1.0714549049573474,1.0714549049573474,1.0714549049573474
2.800000000000001,1.0668499693371716,1.0713196881687885,1.0713196881687885,1.0713196881687885,1.0713196881687885,1.0713196881687885
2.9000000000000012,1.0668499693371716,1.0711823295115777,1.0711823295115777,1.0711823295115777,1.0711823295115777,1.0711823295115777
3.0000000000000013,1.0668499693371716,1.0710429120292722,1.0710429120292722,1.0710429120292722,1.0710429120292722,1.0710429120292722
3.1000000000000014,1.0668499693371716,1.0709015148576195,1.0709015148576195,1.0709015148576195,1.0709015148576195,1.0709015148576195
3.2000000000000015,1.0668499693371716,1.0707582136942757,1.0707582136942757,1.0707582136942757,1.0707582136942757,1.0707582136942757
3.3000000000000016,1.0668499693371716,1.0706130811952672,1.0706130811952672,1.0706130811952672,1.0706130811952672,1.0706130811952672
3.4000000000000017,1.0668499693371716,1.070466187311672,1.070466187311672,1.070466187311672,1.070466187311672,1.070466187311672
3.5000000000000018,1.0668499693371716,1.070317599577191,1.070317599577191,1.070317599577191,1.070317599577191,1.070317599577191
3.600000000000002,1.0668499693371716,1.070167383355105,1.070167383355105,1.070167383355105,1.070167383355105,1.070167383355105
3.700000000000002,1.0668499693371716,1.0700156020514502,1.0700156020514502,1.0700156020514502,1.0700156020514502,1.0700156020514502
3.800000000000002,1.0668499693371716,1.0698623172999278,1.0698623172999278,1.0698623172999278,1.0698623172999278,1.0698623172999278
3.900000000000002,1.0668499693371716,1.0697075891230405,1.0697075891230405,1.0697075891230405,1.0697075891230405,1.0697075891230405
4.000000000000002,1.0668499693371716,1.0695514760731246,1.0695514760731246,1.0695514760731246,1.0695514760731246,1.0695514760731246
