Mach,z_b
0.5,0.7757149338722229
0.6,0.7757149338722229
0.7,0.7757149338722229
0.7999999999999999,0.7845457792282104
0.8999999999999999,0.7942057251930237
0.9999999999999999,0.8012470006942749
1.0999999999999999,0.8346632719039917
1.2,0.8560923933982849
1.3,0.8551805019378662
1.4000000000000001,0.8206610679626465
1.5000000000000002,0.7984400987625122
1.6000000000000003,0.7828940749168396
1.7000000000000004,0.7714685201644897
1.8000000000000005,0.7623727321624756
1.9000000000000006,0.75460284948349
2.0000000000000004,0.7492794990539551
2.1000000000000005,0.7492794990539551
2.2000000000000006,0.7492794990539551
2.3000000000000007,0.7492794990539551
2.400000000000001,0.7492794990539551
2.500000000000001,0.7492794990539551
2.600000000000001,0.7492794990539551
2.700000000000001,0.7492794990539551
2.800000000000001,0.7492794990539551
2.9000000000000012,0.7492794990539551
3.0000000000000013,0.7492794990539551
3.1000000000000014,0.7492794990539551
3.2000000000000015,0.7492794990539551
3.3000000000000016,0.7492794990539551
3.4000000000000017,0.7492794990539551
3.5000000000000018,0.7492794990539551
3.600000000000002,0.7492794990539551
3.700000000000002,0.7492794990539551
3.800000000000002,0.7492794990539551
3.900000000000002,0.7492794990539551
4.000000000000002,0.7492794990539551
