Mach,alpha_-10,alpha_-5,alpha_0,alpha_5,alpha_10
0.5,-0.3756789272161142,-0.1878394636080571,0.0,0.1878394636080571,0.3756789272161142
0.6,-0.3774999681649272,-0.1887499840824636,0.0,0.1887499840824636,0.3774999681649272
0.7,-0.3803817861538264,-0.1901908930769132,0.0,0.1901908930769132,0.3803817861538264
0.7999999999999999,-0.3842976516263508,-0.1921488258131754,0.0,0.1921488258131754,0.3842976516263508
0.8999999999999999,-0.389815267315917,-0.1949076336579585,0.0,0.1949076336579585,0.389815267315917
0.9999999999999999,-0.40230079373348315,-0.20115039686674158,0.0,0.20115039686674158,0.40230079373348315
1.0999999999999999,-0.4231502816133018,-0.2115751408066509,0.0,0.2115751408066509,0.4231502816133018
1.2,-0.4354380084459031,-0.21771900422295154,0.0,0.21771900422295154,0.4354380084459031
1.3,-0.44697055353713405,-0.22348527676856703,0.0,0.22348527676856703,0.44697055353713405
1.4000000000000001,-0.45726373000347875,-0.22863186500173938,0.0,0.22863186500173938,0.45726373000347875
1.5000000000000002,-0.4667312994704477,-0.23336564973522386,0.0,0.23336564973522386,0.4667312994704477
1.6000000000000003,-0.4755532398195797,-0.23777661990978985,0.0,0.23777661990978985,0.4755532398195797
1.7000000000000004,-0.48401017444196587,-0.24200508722098293,0.0,0.24200508722098293,0.48401017444196587
1.8000000000000005,-0.4922163098450915,-0.24610815492254576,0.0,0.24610815492254576,0.4922163098450915
1.9000000000000006,-0.4995650423907639,-0.24978252119538194,0.0,0.24978252119538194,0.4995650423907639
2.0000000000000004,-0.5049378871134664,-0.2524689435567332,0.0,0.2524689435567332,0.5049378871134664
2.1000000000000005,-0.5104034391488851,-0.25520171957444254,0.0,0.25520171957444254,0.5104034391488851
2.2000000000000006,-0.515914277834279,-0.2579571389171395,0.0,0.2579571389171395,0.515914277834279
2.3000000000000007,-0.5215717180713983,-0.2607858590356992,0.0,0.2607858590356992,0.5215717180713983
2.400000000000001,-0.5253787167759884,-0.2626893583879942,0.0,0.2626893583879942,0.5253787167759884
2.500000000000001,-0.5281401217235396,-0.2640700608617698,0.0,0.2640700608617698,0.5281401217235396
2.600000000000001,-0.5310225893887679,-0.26551129469438395,0.0,0.26551129469438395,0.5310225893887679
2.700000000000001,-0.5339071664627586,-0.2669535832313793,0.0,0.2669535832313793,0.5339071664627586
2.800000000000001,-0.536803584071862,-0.268401792035931,0.0,0.268401792035931,0.536803584071862
2.9000000000000012,-0.5369451275087231,-0.26847256375436157,0.0,0.26847256375436157,0.5369451275087231
3.0000000000000013,-0.5362693109674957,-0.2681346554837479,0.0,0.2681346554837479,0.5362693109674957
3.1000000000000014,-0.5356466175928475,-0.26782330879642374,0.0,0.26782330879642374,0.5356466175928475
3.2000000000000015,-0.5350922804993183,-0.26754614024965917,0.0,0.26754614024965917,0.5350922804993183
3.3000000000000016,-0.5346769227282852,-0.2673384613641426,0.0,0.2673384613641426,0.5346769227282852
3.4000000000000017,-0.5326936506574887,-0.2663468253287444,0.0,0.2663468253287444,0.5326936506574887
3.5000000000000018,-0.5302733774348042,-0.2651366887174021,0.0,0.2651366887174021,0.5302733774348042
3.600000000000002,-0.5278626936680394,-0.2639313468340197,0.0,0.2639313468340197,0.5278626936680394
3.700000000000002,-0.525486363846897,-0.2627431819234485,0.0,0.2627431819234485,0.525486363846897
3.800000000000002,-0.5231277078505774,-0.2615638539252887,0.0,0.2615638539252887,0.5231277078505774
3.900000000000002,-0.51994153287447,-0.259970766437235,0.0,0.259970766437235,0.51994153287447
4.000000000000002,-0.5164150036481082,-0.2582075018240541,0.0,0.2582075018240541,0.5164150036481082
