Mach,c_x0_p_Nos_Par
0.5,-0.006379007361829281
0.6,-0.006379007361829281
0.7,-0.0034976345486938953
0.7999999999999999,0.0023707114160060883
0.8999999999999999,0.014844855293631554
0.9999999999999999,0.0634777843952179
1.0999999999999999,0.12431219220161438
1.2,0.13812696933746338
1.3,0.14120721817016602
1.4000000000000001,0.14094462990760803
1.5000000000000002,0.13917984068393707
1.6000000000000003,0.137396439909935
1.7000000000000004,0.13541284203529358
1.8000000000000005,0.13342922925949097
1.9000000000000006,0.131201833486557
2.0000000000000004,0.12897443771362305
2.1000000000000005,0.12774060666561127
2.2000000000000006,0.1265067756175995
2.3000000000000007,0.1252729445695877
2.400000000000001,0.12403912842273712
2.500000000000001,0.12280529737472534
2.600000000000001,0.12173665314912796
2.700000000000001,0.12066799402236938
2.800000000000001,0.1195993572473526
2.9000000000000012,0.11853069812059402
3.0000000000000013,0.11746205389499664
3.1000000000000014,0.11650869250297546
3.2000000000000015,0.11555533111095428
3.3000000000000016,0.1146019697189331
3.4000000000000017,0.11364861577749252
3.5000000000000018,0.11269525438547134
3.600000000000002,0.11184084415435791
3.700000000000002,0.11098644137382507
3.800000000000002,0.11013203114271164
3.900000000000002,0.1092776209115982
4.000000000000002,0.10842321813106537
